ID;SKU;Producto Nombre;Marca;Línea / Variante;Presentación / Formato;Categoría;Subcategoría;Contenido Neto;Unidad;EAN / Código de Barras;Costo sin IVA;Costo con IVA;Precio de Venta
13;BEB-COC-REG-3LXX;Coca-Cola Regular 3 L;Coca-Cola;Regular;3 L Botella (familiar);Bebidas;Gaseosas;3;L;;$ 341,51;$ 413,23;$ 689,57
14;BEB-COC-ZER-354MLX;Coca-Cola Zero 354 ml;Coca-Cola;Zero;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 752,62;$ 910,67;$ 1.317,85
15;BEB-COC-ZER-354MLX-P6;Coca-Cola Zero 354ml Pack x6;Coca-Cola;Zero;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 903,15;$ 1.092,81;$ 1.560,81
16;BEB-COC-ZER-354MLX-P12;Coca-Cola Zero 354ml Pack x12;Coca-Cola;Zero;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 925,72;$ 1.120,12;$ 1.902,44
17;BEB-COC-ZER-473MLX;Coca-Cola Zero 473 ml;Coca-Cola;Zero;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 858,33;$ 1.038,58;$ 1.751,85
18;BEB-COC-ZER-473MLX-P6;Coca-Cola Zero 473ml Pack x6;Coca-Cola;Zero;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 933,49;$ 1.129,52;$ 2.027,08
19;BEB-COC-ZER-473MLX-P12;Coca-Cola Zero 473ml Pack x12;Coca-Cola;Zero;Pack x12 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 1.078,58;$ 1.305,08;$ 2.239,93
20;BEB-COC-ZER-500MLX;Coca-Cola Zero 500 ml;Coca-Cola;Zero;500 ml Botella (consumo al paso);Bebidas;Gaseosas;500;ml;;$ 928,64;$ 1.123,65;$ 1.786,78
21;BEB-COC-ZER-600MLX;Coca-Cola Zero 600 ml;Coca-Cola;Zero;600 ml Botella (consumo al paso);Bebidas;Gaseosas;600;ml;;$ 1.100,07;$ 1.331,08;$ 2.089,65
22;BEB-COC-ZER-125LXX;Coca-Cola Zero 1.25 L;Coca-Cola;Zero;1.25 L Botella (hogar);Bebidas;Gaseosas;1,25;L;;$ 298,00;$ 360,58;$ 631,19
23;BEB-COC-ZER-15LXX;Coca-Cola Zero 1.5 L;Coca-Cola;Zero;1.5 L Botella (familiar);Bebidas;Gaseosas;1,5;L;;$ 492,61;$ 596,06;$ 894,21
24;BEB-COC-ZER-2LXX;Coca-Cola Zero 2 L;Coca-Cola;Zero;2 L Botella (familiar);Bebidas;Gaseosas;2;L;;$ 886,27;$ 1.072,39;$ 1.899,29
25;BEB-COC-ZER-225LXX;Coca-Cola Zero 2.25 L;Coca-Cola;Zero;2.25 L Botella (familiar);Bebidas;Gaseosas;2,25;L;;$ 876,30;$ 1.060,32;$ 1.579,53
26;BEB-COC-ZER-3LXX;Coca-Cola Zero 3 L;Coca-Cola;Zero;3 L Botella (familiar);Bebidas;Gaseosas;3;L;;$ 586,60;$ 709,79;$ 1.121,47
27;BEB-COC-LIG-354MLX;Coca-Cola Light 354 ml;Coca-Cola;Light;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 1.008,47;$ 1.220,25;$ 2.246,81
28;BEB-COC-LIG-354MLX-P6;Coca-Cola Light 354ml Pack x6;Coca-Cola;Light;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 297,46;$ 359,93;$ 543,14
29;BEB-COC-LIG-354MLX-P12;Coca-Cola Light 354ml Pack x12;Coca-Cola;Light;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 621,50;$ 752,01;$ 1.114,82
30;BEB-COC-LIG-473MLX;Coca-Cola Light 473 ml;Coca-Cola;Light;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 878,63;$ 1.063,14;$ 1.435,48
31;BEB-COC-LIG-473MLX-P6;Coca-Cola Light 473ml Pack x6;Coca-Cola;Light;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 896,49;$ 1.084,75;$ 1.495,07
32;BEB-COC-LIG-473MLX-P12;Coca-Cola Light 473ml Pack x12;Coca-Cola;Light;Pack x12 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 1.033,80;$ 1.250,90;$ 1.822,96
33;BEB-COC-LIG-500MLX;Coca-Cola Light 500 ml;Coca-Cola;Light;500 ml Botella (consumo al paso);Bebidas;Gaseosas;500;ml;;$ 805,60;$ 974,78;$ 1.429,95
34;BEB-COC-LIG-600MLX;Coca-Cola Light 600 ml;Coca-Cola;Light;600 ml Botella (consumo al paso);Bebidas;Gaseosas;600;ml;;$ 857,67;$ 1.037,78;$ 1.736,43
35;BEB-COC-LIG-125LXX;Coca-Cola Light 1.25 L;Coca-Cola;Light;1.25 L Botella (hogar);Bebidas;Gaseosas;1,25;L;;$ 351,24;$ 425,00;$ 715,01
36;BEB-COC-LIG-15LXX;Coca-Cola Light 1.5 L;Coca-Cola;Light;1.5 L Botella (familiar);Bebidas;Gaseosas;1,5;L;;$ 300,26;$ 363,31;$ 594,61
37;BEB-COC-LIG-2LXX;Coca-Cola Light 2 L;Coca-Cola;Light;2 L Botella (familiar);Bebidas;Gaseosas;2;L;;$ 826,73;$ 1.000,34;$ 1.543,57
38;BEB-COC-LIG-225LXX;Coca-Cola Light 2.25 L;Coca-Cola;Light;2.25 L Botella (familiar);Bebidas;Gaseosas;2,25;L;;$ 660,80;$ 799,57;$ 1.129,42
39;BEB-COC-LIG-3LXX;Coca-Cola Light 3 L;Coca-Cola;Light;3 L Botella (familiar);Bebidas;Gaseosas;3;L;;$ 721,49;$ 873,00;$ 1.230,33
40;BEB-SPR-REG-354MLX;Sprite Regular 354 ml;Sprite;Regular;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 769,64;$ 931,26;$ 1.690,49
41;BEB-SPR-REG-354MLX-P6;Sprite Regular 354ml Pack x6;Sprite;Regular;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 568,08;$ 687,38;$ 946,17
42;BEB-SPR-REG-354MLX-P12;Sprite Regular 354ml Pack x12;Sprite;Regular;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 813,82;$ 984,72;$ 1.514,77
43;BEB-SPR-REG-473MLX;Sprite Regular 473 ml;Sprite;Regular;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 542,60;$ 656,55;$ 906,90
44;BEB-SPR-REG-473MLX-P6;Sprite Regular 473ml Pack x6;Sprite;Regular;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 313,20;$ 378,97;$ 592,48
45;BEB-SPR-REG-473MLX-P12;Sprite Regular 473ml Pack x12;Sprite;Regular;Pack x12 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 742,32;$ 898,21;$ 1.672,42
46;BEB-SPR-REG-500MLX;Sprite Regular 500 ml;Sprite;Regular;500 ml Botella (consumo al paso);Bebidas;Gaseosas;500;ml;;$ 1.080,92;$ 1.307,91;$ 2.073,14
47;BEB-SPR-REG-600MLX;Sprite Regular 600 ml;Sprite;Regular;600 ml Botella (consumo al paso);Bebidas;Gaseosas;600;ml;;$ 966,16;$ 1.169,05;$ 1.871,22
48;BEB-SPR-REG-125LXX;Sprite Regular 1.25 L;Sprite;Regular;1.25 L Botella (hogar);Bebidas;Gaseosas;1,25;L;;$ 590,17;$ 714,11;$ 976,55
49;BEB-SPR-REG-15LXX;Sprite Regular 1.5 L;Sprite;Regular;1.5 L Botella (familiar);Bebidas;Gaseosas;1,5;L;;$ 1.081,52;$ 1.308,64;$ 1.767,84
50;BEB-SPR-REG-2LXX;Sprite Regular 2 L;Sprite;Regular;2 L Botella (familiar);Bebidas;Gaseosas;2;L;;$ 927,71;$ 1.122,53;$ 1.768,00
51;BEB-SPR-REG-225LXX;Sprite Regular 2.25 L;Sprite;Regular;2.25 L Botella (familiar);Bebidas;Gaseosas;2,25;L;;$ 386,62;$ 467,81;$ 652,03
52;BEB-SPR-REG-3LXX;Sprite Regular 3 L;Sprite;Regular;3 L Botella (familiar);Bebidas;Gaseosas;3;L;;$ 1.010,16;$ 1.222,29;$ 1.973,92
53;BEB-SPR-ZER-354MLX;Sprite Zero 354 ml;Sprite;Zero;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 1.080,18;$ 1.307,02;$ 1.923,10
54;BEB-SPR-ZER-354MLX-P6;Sprite Zero 354ml Pack x6;Sprite;Zero;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 1.137,39;$ 1.376,24;$ 1.931,40
55;BEB-SPR-ZER-354MLX-P12;Sprite Zero 354ml Pack x12;Sprite;Zero;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 546,59;$ 661,37;$ 1.131,35
56;BEB-SPR-ZER-473MLX;Sprite Zero 473 ml;Sprite;Zero;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 707,59;$ 856,18;$ 1.284,51
57;BEB-SPR-ZER-473MLX-P6;Sprite Zero 473ml Pack x6;Sprite;Zero;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 504,73;$ 610,72;$ 895,48
58;BEB-SPR-ZER-473MLX-P12;Sprite Zero 473ml Pack x12;Sprite;Zero;Pack x12 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 849,00;$ 1.027,29;$ 1.702,51
59;BEB-SPR-ZER-500MLX;Sprite Zero 500 ml;Sprite;Zero;500 ml Botella (consumo al paso);Bebidas;Gaseosas;500;ml;;$ 1.107,56;$ 1.340,15;$ 1.922,62
60;BEB-SPR-ZER-600MLX;Sprite Zero 600 ml;Sprite;Zero;600 ml Botella (consumo al paso);Bebidas;Gaseosas;600;ml;;$ 1.144,20;$ 1.384,48;$ 2.032,90
61;BEB-SPR-ZER-125LXX;Sprite Zero 1.25 L;Sprite;Zero;1.25 L Botella (hogar);Bebidas;Gaseosas;1,25;L;;$ 924,25;$ 1.118,34;$ 1.661,66
62;BEB-SPR-ZER-15LXX;Sprite Zero 1.5 L;Sprite;Zero;1.5 L Botella (familiar);Bebidas;Gaseosas;1,5;L;;$ 853,47;$ 1.032,70;$ 1.735,05
63;BEB-SPR-ZER-2LXX;Sprite Zero 2 L;Sprite;Zero;2 L Botella (familiar);Bebidas;Gaseosas;2;L;;$ 1.187,37;$ 1.436,72;$ 2.239,56
64;BEB-SPR-ZER-225LXX;Sprite Zero 2.25 L;Sprite;Zero;2.25 L Botella (familiar);Bebidas;Gaseosas;2,25;L;;$ 719,82;$ 870,98;$ 1.327,47
65;BEB-SPR-ZER-3LXX;Sprite Zero 3 L;Sprite;Zero;3 L Botella (familiar);Bebidas;Gaseosas;3;L;;$ 1.150,88;$ 1.392,56;$ 1.986,98
66;BEB-FAN-NAR-354MLX;Fanta Naranja 354 ml;Fanta;Naranja;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 407,18;$ 492,69;$ 793,24
67;BEB-FAN-NAR-354MLX-P6;Fanta Naranja 354ml Pack x6;Fanta;Naranja;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 686,68;$ 830,88;$ 1.449,10
68;BEB-FAN-NAR-354MLX-P12;Fanta Naranja 354ml Pack x12;Fanta;Naranja;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 949,43;$ 1.148,81;$ 1.750,77
69;BEB-FAN-NAR-473MLX;Fanta Naranja 473 ml;Fanta;Naranja;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 1.159,88;$ 1.403,45;$ 2.503,94
70;BEB-FAN-NAR-473MLX-P6;Fanta Naranja 473ml Pack x6;Fanta;Naranja;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 784,99;$ 949,84;$ 1.616,86
71;BEB-FAN-NAR-473MLX-P12;Fanta Naranja 473ml Pack x12;Fanta;Naranja;Pack x12 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 594,92;$ 719,85;$ 1.156,40
72;BEB-FAN-NAR-500MLX;Fanta Naranja 500 ml;Fanta;Naranja;500 ml Botella (consumo al paso);Bebidas;Gaseosas;500;ml;;$ 364,27;$ 440,77;$ 636,69
73;BEB-FAN-NAR-600MLX;Fanta Naranja 600 ml;Fanta;Naranja;600 ml Botella (consumo al paso);Bebidas;Gaseosas;600;ml;;$ 1.109,52;$ 1.342,52;$ 2.349,50
74;BEB-FAN-NAR-125LXX;Fanta Naranja 1.25 L;Fanta;Naranja;1.25 L Botella (hogar);Bebidas;Gaseosas;1,25;L;;$ 1.034,85;$ 1.252,17;$ 2.241,11
75;BEB-FAN-NAR-15LXX;Fanta Naranja 1.5 L;Fanta;Naranja;1.5 L Botella (familiar);Bebidas;Gaseosas;1,5;L;;$ 857,45;$ 1.037,51;$ 1.715,79
76;BEB-FAN-NAR-2LXX;Fanta Naranja 2 L;Fanta;Naranja;2 L Botella (familiar);Bebidas;Gaseosas;2;L;;$ 1.172,43;$ 1.418,64;$ 2.429,34
77;BEB-FAN-NAR-225LXX;Fanta Naranja 2.25 L;Fanta;Naranja;2.25 L Botella (familiar);Bebidas;Gaseosas;2,25;L;;$ 480,96;$ 581,96;$ 911,35
78;BEB-FAN-NAR-3LXX;Fanta Naranja 3 L;Fanta;Naranja;3 L Botella (familiar);Bebidas;Gaseosas;3;L;;$ 438,94;$ 531,12;$ 836,74
79;BEB-FAN-POM-354MLX;Fanta Pomelo 354 ml;Fanta;Pomelo;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 966,46;$ 1.169,42;$ 1.957,19
80;BEB-FAN-POM-354MLX-P6;Fanta Pomelo 354ml Pack x6;Fanta;Pomelo;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 536,82;$ 649,55;$ 895,70
81;BEB-FAN-POM-354MLX-P12;Fanta Pomelo 354ml Pack x12;Fanta;Pomelo;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 954,37;$ 1.154,79;$ 2.018,07
82;BEB-FAN-POM-473MLX;Fanta Pomelo 473 ml;Fanta;Pomelo;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 766,52;$ 927,49;$ 1.704,22
83;BEB-FAN-POM-473MLX-P6;Fanta Pomelo 473ml Pack x6;Fanta;Pomelo;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 1.052,99;$ 1.274,12;$ 2.225,88
84;BEB-FAN-POM-473MLX-P12;Fanta Pomelo 473ml Pack x12;Fanta;Pomelo;Pack x12 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 482,01;$ 583,23;$ 920,59
85;BEB-FAN-POM-500MLX;Fanta Pomelo 500 ml;Fanta;Pomelo;500 ml Botella (consumo al paso);Bebidas;Gaseosas;500;ml;;$ 349,42;$ 422,80;$ 627,29
86;BEB-FAN-POM-600MLX;Fanta Pomelo 600 ml;Fanta;Pomelo;600 ml Botella (consumo al paso);Bebidas;Gaseosas;600;ml;;$ 670,39;$ 811,17;$ 1.218,47
87;BEB-FAN-POM-125LXX;Fanta Pomelo 1.25 L;Fanta;Pomelo;1.25 L Botella (hogar);Bebidas;Gaseosas;1,25;L;;$ 816,00;$ 987,36;$ 1.538,75
88;BEB-FAN-POM-15LXX;Fanta Pomelo 1.5 L;Fanta;Pomelo;1.5 L Botella (familiar);Bebidas;Gaseosas;1,5;L;;$ 513,64;$ 621,50;$ 967,02
89;BEB-FAN-POM-2LXX;Fanta Pomelo 2 L;Fanta;Pomelo;2 L Botella (familiar);Bebidas;Gaseosas;2;L;;$ 823,70;$ 996,68;$ 1.451,53
90;BEB-FAN-POM-225LXX;Fanta Pomelo 2.25 L;Fanta;Pomelo;2.25 L Botella (familiar);Bebidas;Gaseosas;2,25;L;;$ 1.032,28;$ 1.249,06;$ 2.014,54
91;BEB-FAN-POM-3LXX;Fanta Pomelo 3 L;Fanta;Pomelo;3 L Botella (familiar);Bebidas;Gaseosas;3;L;;$ 704,58;$ 852,54;$ 1.520,79
92;BEB-PEP-REG-354MLX;Pepsi Regular 354 ml;Pepsi;Regular;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 411,73;$ 498,19;$ 768,25
93;BEB-PEP-REG-354MLX-P6;Pepsi Regular 354ml Pack x6;Pepsi;Regular;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 914,56;$ 1.106,62;$ 1.564,43
94;BEB-PEP-REG-354MLX-P12;Pepsi Regular 354ml Pack x12;Pepsi;Regular;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 540,12;$ 653,55;$ 884,97
95;BEB-PEP-REG-473MLX;Pepsi Regular 473 ml;Pepsi;Regular;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 648,89;$ 785,16;$ 1.347,09
96;BEB-PEP-REG-473MLX-P6;Pepsi Regular 473ml Pack x6;Pepsi;Regular;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 436,23;$ 527,84;$ 753,99
97;BEB-PEP-REG-473MLX-P12;Pepsi Regular 473ml Pack x12;Pepsi;Regular;Pack x12 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 879,06;$ 1.063,66;$ 1.550,62
98;BEB-PEP-REG-500MLX;Pepsi Regular 500 ml;Pepsi;Regular;500 ml Botella (consumo al paso);Bebidas;Gaseosas;500;ml;;$ 583,00;$ 705,43;$ 1.176,81
99;BEB-PEP-REG-600MLX;Pepsi Regular 600 ml;Pepsi;Regular;600 ml Botella (consumo al paso);Bebidas;Gaseosas;600;ml;;$ 476,47;$ 576,53;$ 998,30
100;BEB-PEP-REG-125LXX;Pepsi Regular 1.25 L;Pepsi;Regular;1.25 L Botella (hogar);Bebidas;Gaseosas;1,25;L;;$ 891,86;$ 1.079,15;$ 1.757,52
101;BEB-PEP-REG-15LXX;Pepsi Regular 1.5 L;Pepsi;Regular;1.5 L Botella (familiar);Bebidas;Gaseosas;1,5;L;;$ 362,50;$ 438,62;$ 714,93
102;BEB-PEP-REG-2LXX;Pepsi Regular 2 L;Pepsi;Regular;2 L Botella (familiar);Bebidas;Gaseosas;2;L;;$ 709,95;$ 859,04;$ 1.623,64
103;BEB-PEP-REG-225LXX;Pepsi Regular 2.25 L;Pepsi;Regular;2.25 L Botella (familiar);Bebidas;Gaseosas;2,25;L;;$ 725,34;$ 877,66;$ 1.542,34
104;BEB-PEP-REG-3LXX;Pepsi Regular 3 L;Pepsi;Regular;3 L Botella (familiar);Bebidas;Gaseosas;3;L;;$ 332,21;$ 401,97;$ 570,59
105;BEB-PEP-BLA-354MLX;Pepsi Black 354 ml;Pepsi;Black;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 386,21;$ 467,31;$ 705,04
106;BEB-PEP-BLA-354MLX-P6;Pepsi Black 354ml Pack x6;Pepsi;Black;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 634,60;$ 767,87;$ 1.074,47
107;BEB-PEP-BLA-354MLX-P12;Pepsi Black 354ml Pack x12;Pepsi;Black;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 894,46;$ 1.082,30;$ 1.694,82
108;BEB-PEP-BLA-473MLX;Pepsi Black 473 ml;Pepsi;Black;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 382,05;$ 462,28;$ 797,48
109;BEB-PEP-BLA-473MLX-P6;Pepsi Black 473ml Pack x6;Pepsi;Black;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 825,65;$ 999,04;$ 1.368,29
110;BEB-PEP-BLA-473MLX-P12;Pepsi Black 473ml Pack x12;Pepsi;Black;Pack x12 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 879,59;$ 1.064,30;$ 1.892,05
111;BEB-PEP-BLA-500MLX;Pepsi Black 500 ml;Pepsi;Black;500 ml Botella (consumo al paso);Bebidas;Gaseosas;500;ml;;$ 574,67;$ 695,35;$ 1.032,35
112;BEB-PEP-BLA-600MLX;Pepsi Black 600 ml;Pepsi;Black;600 ml Botella (consumo al paso);Bebidas;Gaseosas;600;ml;;$ 1.051,95;$ 1.272,86;$ 2.204,67
113;BEB-PEP-BLA-125LXX;Pepsi Black 1.25 L;Pepsi;Black;1.25 L Botella (hogar);Bebidas;Gaseosas;1,25;L;;$ 570,23;$ 689,98;$ 1.117,60
114;BEB-PEP-BLA-15LXX;Pepsi Black 1.5 L;Pepsi;Black;1.5 L Botella (familiar);Bebidas;Gaseosas;1,5;L;;$ 828,85;$ 1.002,91;$ 1.445,51
115;BEB-PEP-BLA-2LXX;Pepsi Black 2 L;Pepsi;Black;2 L Botella (familiar);Bebidas;Gaseosas;2;L;;$ 682,69;$ 826,05;$ 1.394,12
116;BEB-PEP-BLA-225LXX;Pepsi Black 2.25 L;Pepsi;Black;2.25 L Botella (familiar);Bebidas;Gaseosas;2,25;L;;$ 1.141,28;$ 1.380,95;$ 2.202,15
117;BEB-PEP-BLA-3LXX;Pepsi Black 3 L;Pepsi;Black;3 L Botella (familiar);Bebidas;Gaseosas;3;L;;$ 1.173,65;$ 1.420,12;$ 1.980,43
118;BEB-7UP-REG-354MLX;7UP Regular 354 ml;7UP;Regular;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 325,82;$ 394,24;$ 729,38
119;BEB-7UP-REG-354MLX-P6;7UP Regular 354ml Pack x6;7UP;Regular;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 321,14;$ 388,58;$ 549,97
120;BEB-7UP-REG-354MLX-P12;7UP Regular 354ml Pack x12;7UP;Regular;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 834,11;$ 1.009,27;$ 1.746,45
121;BEB-7UP-REG-473MLX;7UP Regular 473 ml;7UP;Regular;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 1.076,61;$ 1.302,70;$ 2.199,22
122;BEB-7UP-REG-473MLX-P6;7UP Regular 473ml Pack x6;7UP;Regular;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 579,48;$ 701,17;$ 1.133,00
123;BEB-7UP-REG-473MLX-P12;7UP Regular 473ml Pack x12;7UP;Regular;Pack x12 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 940,49;$ 1.137,99;$ 1.639,13
124;BEB-7UP-REG-500MLX;7UP Regular 500 ml;7UP;Regular;500 ml Botella (consumo al paso);Bebidas;Gaseosas;500;ml;;$ 428,91;$ 518,98;$ 917,16
125;BEB-7UP-REG-600MLX;7UP Regular 600 ml;7UP;Regular;600 ml Botella (consumo al paso);Bebidas;Gaseosas;600;ml;;$ 951,30;$ 1.151,07;$ 2.174,11
126;BEB-7UP-REG-125LXX;7UP Regular 1.25 L;7UP;Regular;1.25 L Botella (hogar);Bebidas;Gaseosas;1,25;L;;$ 1.158,09;$ 1.401,29;$ 1.962,37
127;BEB-7UP-REG-15LXX;7UP Regular 1.5 L;7UP;Regular;1.5 L Botella (familiar);Bebidas;Gaseosas;1,5;L;;$ 963,95;$ 1.166,38;$ 1.896,06
128;BEB-7UP-REG-2LXX;7UP Regular 2 L;7UP;Regular;2 L Botella (familiar);Bebidas;Gaseosas;2;L;;$ 408,88;$ 494,74;$ 902,22
129;BEB-7UP-REG-225LXX;7UP Regular 2.25 L;7UP;Regular;2.25 L Botella (familiar);Bebidas;Gaseosas;2,25;L;;$ 575,00;$ 695,75;$ 1.104,09
130;BEB-7UP-REG-3LXX;7UP Regular 3 L;7UP;Regular;3 L Botella (familiar);Bebidas;Gaseosas;3;L;;$ 836,79;$ 1.012,52;$ 1.696,71
131;BEB-MAN-COL-354MLX;Manaos Cola 354 ml;Manaos;Cola;354 ml Lata (consumo al paso);Bebidas;Gaseosas;354;ml;;$ 748,36;$ 905,52;$ 1.644,95
132;BEB-MAN-COL-354MLX-P6;Manaos Cola 354ml Pack x6;Manaos;Cola;Pack x6 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 1.042,88;$ 1.261,88;$ 2.188,83
133;BEB-MAN-COL-354MLX-P12;Manaos Cola 354ml Pack x12;Manaos;Cola;Pack x12 (354 ml Lata);Bebidas;Gaseosas;354;ml;;$ 777,62;$ 940,92;$ 1.445,85
134;BEB-MAN-COL-473MLX;Manaos Cola 473 ml;Manaos;Cola;473 ml Lata (consumo al paso);Bebidas;Gaseosas;473;ml;;$ 317,51;$ 384,19;$ 521,60
135;BEB-MAN-COL-473MLX-P6;Manaos Cola 473ml Pack x6;Manaos;Cola;Pack x6 (473 ml Lata);Bebidas;Gaseosas;473;ml;;$ 723,22;$ 875,10;$ 1.205,67
